,Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Gskew,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PercentAmplitude,PeriodLS
4475,0.0965,0.054954,7,0.31,-0.001,-2e-05,0.864398,13.517557,0.003754,0.0335,0.443333,0.011056,0.995903
4476,0.014,0.198666,2,0.346939,0.004,1e-06,0.319489,13.355007,0.000508,0.005,0.394558,0.001423,0.345517
4477,0.0885,0.16452,5,0.33,0.011,1.9e-05,0.740741,14.091687,0.003058,0.0315,0.39,0.0075590000000000015,449.702197
4478,0.125,0.0,1,0.423333,0.056,3e-06,16.608997,17.235347,0.0046890000000000005,0.07,0.216667,0.010773,0.365705
4479,0.0105,0.098389,2,0.323333,-0.003,-3e-06,0.16375499999999998,13.413563,0.000393,0.004,0.486667,0.001416,0.999096
4480,0.11775,0.46093,5,0.330275,0.017,-1.5e-05,0.037287,12.940982,0.004736,0.044,0.366972,0.011204,81.828132
4481,0.0205,0.020931,4,0.277174,0.0045,-1.3e-05,0.519831,12.861451,0.000759,0.006,0.472826,0.002643,17.676015
4482,0.017,0.552967,1,0.32381,-0.0015,1.5e-05,3.214286,15.518367,0.000554,0.006,0.371429,0.0017399999999999998,1.0516530000000002
4483,0.4945,0.0,11,0.323333,0.53,0.000223,0.035668,14.289,0.019969,0.1755,0.323333,0.064924,187.851334
4484,0.0165,0.409604,3,0.329412,0.002,2.6e-05,0.204708,15.519024,0.000575,0.006999999999999999,0.447059,0.001804,495.81281
4485,0.2655,0.0,1,0.214047,0.238,-2.4e-05,15.411932,19.671254,0.006696,0.07200000000000001,0.598662,0.030425,1.515626
4486,0.3145,0.07349,12,0.333333,0.008,1.6e-05,0.381679,14.018043,0.011333,0.097,0.373333,0.025767,974.562033
4487,0.192,1.5e-05,2,0.33,0.032,-1.3e-05,2.311111,18.82684,0.005866,0.08800000000000001,0.293333,0.015144,0.333447
4488,0.1685,1e-06,1,0.389706,-0.09,1.5e-05,1.334288,17.412478,0.006044,0.0835,0.279412,0.016059999999999998,0.614121
4489,0.0465,0.424342,8,0.321212,-0.003,9.5e-05,0.16334500000000002,13.370006,0.001754,0.017,0.393939,0.004488000000000001,145.181733
4490,0.1255,0.0,1,0.415842,0.017,-3.2e-05,0.581074,16.680743,0.005167000000000001,0.084,0.118812,0.008273,0.289138
4491,0.0155,0.046941,5,0.333333,0.006,-1e-06,0.318471,15.36718,0.000504,0.005,0.46,0.001562,13.480049
4492,0.0185,0.000651,2,0.33,-0.006,9e-06,0.165406,13.88449,0.000713,0.006999999999999999,0.43,0.002053,2707.5738
4493,0.197,0.0,10,0.446667,0.076,5.1e-05,0.859599,14.25546,0.007999,0.096,0.21,0.019583,1.003723
4494,0.025,0.465787,3,0.33,-0.001,-1.6e-05,0.185667,13.185863,0.00097,0.009000000000000001,0.446667,0.003034,4338.27714
4495,0.04825,0.042814,3,0.358974,0.0135,-1e-05,0.012394,13.616274,0.001873,0.018000000000000002,0.384615,0.006097,26.718518
4496,0.03,0.076658,3,0.303333,0.01,5e-06,1.932367,13.94394,0.001027,0.01,0.366667,0.003012,14.727398999999998
